23,9,63,24,46,82,9,35,64,47,33,91,94,42,98,81,62,63,70,68,76,85,59,49,99,96,14,59,46,59,85,18,57,56,43,16,7,43,21,90,16,68,85,34,50,79,83,61,95,24
83,83,36,48,48,2,15,87,21,81,76,66,52,96,82,83,78,33,36,59,16,19,79,60,26,17,36,77,67,34,81,9,100,26,88,4,7,45,58,53,16,5,3,61,88,60,73,6,32,58
9,68,40,94,71,5,61,73,91,90,31,3,82,23,69,50,83,63,3,100,98,83,97,7,10,20,3,27,17,89,54,12,34,11,89,54,22,45,91,12,68,44,10,33,42,39,73,96,52,15
90,29,39,48,65,93,20,46,75,0,87,64,97,37,98,38,6,48,49,32,67,88,26,1,1,45,10,69,41,74,74,54,57,27,29,64,40,86,67,62,38,69,41,95,95,62,17,59,60,65
60,69,27,31,60,59,63,95,52,11,8,43,71,10,14,52,89,52,41,41,60,21,81,34,59,89,23,96,18,34,12,48,57,98,46,58,100,40,72,33,51,86,31,83,13,6,14,97,12,19
33,87,21,80,67,67,79,16,70,26,22,98,85,59,14,59,61,87,20,14,10,61,26,4,81,44,65,15,75,0,50,86,14,66,20,60,56,27,40,52,90,29,13,22,37,15,48,66,53,40
74,31,21,100,70,38,81,27,69,31,24,70,98,24,20,4,32,91,57,67,7,71,54,57,62,16,75,21,40,61,15,21,75,81,84,24,61,26,1,71,19,35,72,35,35,45,75,37,20,65
7,72,32,12,13,98,31,14,85,67,59,68,72,36,20,55,2,80,78,100,84,98,45,96,46,80,85,5,2,90,51,98,68,38,55,38,42,58,90,16,92,56,47,32,33,10,84,25,90,16
17,28,30,58,42,80,52,13,28,85,87,49,38,65,71,79,23,66,64,67,46,25,63,64,20,82,20,60,65,43,57,89,1,54,83,89,95,89,73,63,30,40,78,34,44,81,36,12,29,7
90,13,19,94,16,23,5,77,35,27,69,17,25,26,90,75,34,100,86,26,78,9,5,89,90,12,1,6,98,32,42,95,25,58,51,93,78,62,53,67,44,51,34,84,83,47,36,33,66,65
